Fri Jun 29 03:46:04 UTC 2018
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50364 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50562 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50596 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50370 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50650 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50016 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50804 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50892 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50416 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50382 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50036 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50242 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50846 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50848 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50190 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50220 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50244 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50644 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50172 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50598 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50034 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50164 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50266 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50200 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50352 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50224 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50796 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50888 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50470 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50314 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50526 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50056 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50406 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50424 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50894 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50810 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50722 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50896 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50910 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50188 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50274 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50676 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50194 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50098 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50376 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50022 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50840 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50386 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50218 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50478 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50666 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50106 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50234 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50092 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50498 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50672 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50186 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50702 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50448 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50320 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50166 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50178 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50112 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50838 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50982 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50534 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50748 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50698 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50248 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50272 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50312 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50214 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50642 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50540 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50706 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50286 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50480 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50252 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50890 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50010 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50942 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50006 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50770 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50062 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50402 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50134 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50962 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50716 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50442 TIME_WAIT   
